Job_ID,Bank_Name,Job_Title,Cluster_Name,The_amount_of_word_count,Category
13476,JP Morgan,"Chase Wealth Management - Private Client Advisor - Gonzales, LA",Big Data,29,Fintech
13477,JP Morgan,Corporate Finance â Financial Information Reporting Solutions (FIRS) â Planning & Analysis Support Service â Analyst,Lending,28,Fintech
13478,JP Morgan,Automation Engineer - QA Test Engineer,Blockchain,32,Fintech
13479,JP Morgan,Software Engineer,Blockchain,37,Fintech
13480,JP Morgan,Data Engineer - Asset Wealth Management,Blockchain,62,Fintech
13481,JP Morgan,Compliance Associate - AML Investigations,Non-FinTech,8,Nonfintech
13482,JP Morgan,Global Security - Security Specialist,﻿Payments,21,Fintech
13483,JP Morgan,"Legal- VP, Assistant General Counsel- Mutual Funds Lawyer",﻿Payments,36,Fintech
13484,JP Morgan,"Legal- VP, Assistant General Counsel- Mutual Funds Lawyer",﻿Payments,36,Fintech
13485,JP Morgan,Investigative Support - Business Analysis and Reporting Manager - Global Security,﻿Payments,56,Fintech
13486,JP Morgan,Compliance Associate AML Investigations,Big Data,16,Fintech
13487,JP Morgan,"CIB - Client Service Analyst - Global Quality Management, Team Lead - Manila",﻿Payments,49,Fintech
13488,JP Morgan,Business Analyst,Blockchain,36,Fintech
13489,JP Morgan,CCB Risk -  Program Control Officer - Associate,Lending,49,Fintech
13490,JP Morgan,CCB Risk -  Program Control Officer - Associate,Lending,49,Fintech
13491,JP Morgan,CCB Risk -  Program Control Officer - Associate,Lending,49,Fintech
13492,JP Morgan,Private Client Banker - Glendale Ave - Glendale CA,﻿Payments,30,Fintech
13493,JP Morgan,"Chase Wealth Management Private Client Advisor - Glendale, CA (Glendale Ave)",Big Data,29,Fintech
13494,JP Morgan,Consumer & Community Banking - Control Management - Control Manager (Committee Governance) - Vice President,Non-FinTech,13,Nonfintech
13495,JP Morgan,Consumer & Community Banking - Control Management - Control Manager (Committee Governance) - Vice President,Non-FinTech,13,Nonfintech
13496,JP Morgan,"Relationship Banker - Lake Forest, IL (Lake Forest N Branch)",Big Data,54,Fintech
13497,JP Morgan,"Relationship Banker - Highland Park, IL (Clavey and US 41 Branch)",Big Data,54,Fintech
13498,JP Morgan,Software Engineer - Java - Call Management Collateral Technology Team,Blockchain,42,Fintech
13499,JP Morgan,"Chase Wealth Management Financial Advisor - Burbank, CA (Burbank San Fernando)",Big Data,29,Fintech
13500,JP Morgan,Corporate Finance â Release Management â Finance & Risk Roadmap â Senior Associate,﻿Payments,41,Fintech
13501,JP Morgan,Digital - Lead User Experience Researcher,Big Data,32,Fintech
13502,JP Morgan,Digital - Lead User Experience Researcher,Big Data,32,Fintech
13503,JP Morgan,"Commercial Banking - Middle Market - Managing Market Executive - Executive Director or Managing Director - Austin, Texas",﻿Payments,45,Fintech
13504,JP Morgan,"Chase Merchant Services-Executive Director, Business Data Architect",Big Data,84,Fintech
13505,JP Morgan,Business Process Manager,﻿Payments,21,Fintech
